node   1  (   0,    0) (   4,    3) (   5,    4) (   3,    4) (   1,    1) (   1,    2) (   1,    1) (   1,    0) (   1,    2) (   1,    1)
          (   1,    0) (   1,    1) (   1,    0) (   1,    1) (   1,    1) (   1,    3) (   1,    2) (   1,    0) (   1,    0) (   1,    0)
          (   1,    0) (   1,    0) (   1,    3) (   1,    2) (   1,    1) (   1,    2) (   1,    0) (   1,    1) (   1,    0) (   1,    1)
          (   1,    0) (   1,    1) (   1,    1) (   1,    0) (   1,    0) (   1,    2) (   1,    0) (   1,    1) (   1,    1) (   1,    0)
          (   1,    0) (   1,    1) (   1,    1) (   1,    2) (   1,    0) (   1,    1) (   1,    1) (   1,    1) (   1,    1) (   1,    3)
          (   1,    1) (   1,    1) (   1,    0) (   1,    2) (   1,    2) (   1,    0) (   1,    1) (   1,    1) (   1,    0) (   1,    0)
          (   1,    0) (   1,    0) (   1,    1) (   0,    0) (   1,    1) (   1,    0) (   1,    2) (   1,    2) (   1,    0) (   1,    2)
          (   1,    1) (   1,    0) (   1,    1) (   0,    3) (   1,    2) (   1,    0) (   1,    1) (   1,    2) (   1,    0) (   1,    1)
          (   1,    1) (   1,    0) (   1,    0) (   0,    0) (   1,    1) (   1,    1) (   1,    3) (   1,    0) (   1,    0) (   1,    1)
          (   1,    1) (   1,    0) (   1,    3) (   1,    1) (   1,    0) (   1,    0) (   1,    1) (   1,    1) (   1,    1) (   1,    1)
          (   1,    3) (   0,    0) (   1,    2) (   1,    1) (   1,    2) (   0,    2) (   1,    0) (   0,    0) (   1,    0) (   1,    1)
          (   1,    2) (   1,    0) (   1,    0) (   1,    0) (   1,    0) (   1,    1) (   1,    0) (   1,    1) (   1,    1) (   1,    1)
          (   1,    2) (   1,    2) (   1,    1) (   1,    0) (   1,    1) (   0,    1) (   1,    0) (   1,    1) (   1,    0) (   1,    2)
          (   1,    1) (   1,    2) (   0,    0) (   1,    1) (   1,    0) (   0,    0) (   1,    0) (   1,    0) (   1,    1) (   1,    0)
          (   1,    1) (   1,    0) (   1,    0) (   1,    1) (   1,    0) (   1,    3) (   1,    3) (   1,    0) (   1,    0) (   1,    0)
          (   1,    0) (   1,    1) (   1,    0) (   1,    1) (   1,    0) (   1,    0) (   1,    2) (   1,    0) (   1,    4) (   1,    1)
          (   1,    0) (   1,    2) (   1,    2) (   0,    0) (   1,    1) (   1,    0) (   1,    1) (   1,    0) (   1,    1) (   1,    0)
          (   1,    1) (   1,    2) (   1,    1) (   1,    0) (   1,    0) (   1,    1) (   1,    2) (   1,    2) (   1,    0) (   1,    1)
          (   1,    1) (   0,    1) (   1,    2) (   1,    1) (   0,    0) (   1,    3) (   1,    0) (   1,    0) (   0,    2) (   1,    1)
          (   1,    0) (   1,    0) (   1,    1) (   1,    1) (   1,    1) (   1,    0) (   1,    2) (   1,    1) (   1,    1) (   0,    0)
          (   1,    2) (   1,    0) (   1,    0) (   1,    0) (   0,    0) (   1,    1) (   1,    0) (   1,    1) (   1,    0) (   0,    2)
          (   1,    1) (   1,    2) (   1,    3) (   1,    0) (   1,    2) (   1,    1) (   1,    1) (   1,    0) (   1,    0) (   1,    1)
